date,FEDFUNDS,DGS1MO,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,DGS20,DGS30
2006-02-28,4.49,4.404999999999999,4.55,4.705,4.7,4.69,4.67,4.59,4.58,4.575,4.72,4.525
2006-03-31,4.59,4.5,4.62,4.79,4.77,4.72,4.74,4.71,4.7,4.73,4.91,4.72
2006-04-30,4.79,4.62,4.7,4.9,4.9,4.89,4.89,4.91,4.94,4.99,5.23,5.07
2006-05-31,4.94,4.74,4.83,5.01,5.0,4.97,4.97,4.99,5.03,5.12,5.35,5.2
2006-06-30,4.99,4.725,4.91,5.18,5.165,5.15,5.115,5.09,5.09,5.12,5.31,5.175
2006-07-31,5.24,4.890000000000001,5.08,5.275,5.22,5.12,5.07,5.04,5.045,5.075,5.235,5.125
2006-08-31,5.25,5.16,5.1,5.17,5.08,4.89,4.84,4.82,4.82,4.87,5.08,5.0
2006-09-30,5.25,4.76,4.93,5.1,4.99,4.8,4.72,4.7,4.7,4.74,4.95,4.87
2006-10-31,5.25,5.0,5.08,5.13,5.03,4.82,4.75,4.71,4.71,4.75,4.96,4.88
2006-11-30,5.25,5.205,5.08,5.15,5.015,4.745,4.640000000000001,4.575,4.575,4.595,4.78,4.6850000000000005
2006-12-31,5.24,4.85,4.97,5.08,4.96,4.71,4.62,4.57,4.57,4.6,4.81,4.72
2007-01-31,5.25,4.97,5.11,5.16,5.06,4.88,4.81,4.76,4.76,4.76,4.94,4.85
2007-02-28,5.26,5.23,5.165,5.16,5.06,4.87,4.77,4.72,4.72,4.73,4.9350000000000005,4.82
2007-03-31,5.26,5.22,5.07,5.095,4.91,4.58,4.51,4.48,4.5,4.56,4.785,4.7
2007-04-30,5.25,4.975,5.015,5.07,4.92,4.64,4.58,4.57,4.6,4.68,4.93,4.85
2007-05-31,5.25,4.78,4.88,4.99,4.92,4.75,4.66,4.63,4.65,4.71,4.95,4.88
2007-06-30,5.25,4.51,4.77,4.95,4.96,4.97,4.98,5.02,5.07,5.12,5.3,5.22
2007-07-31,5.26,4.77,4.96,5.04,4.98,4.87,4.88,4.93,4.97,5.03,5.21,5.12
2007-08-31,5.02,4.38,4.4,4.48,4.41,4.28,4.31,4.41,4.5,4.68,5.0,4.92
2007-09-30,4.94,3.87,4.01,4.2,4.1,4.03,4.07,4.22,4.33,4.53,4.86,4.83
2007-10-31,4.76,3.81,3.98,4.15,4.1,4.0,4.04,4.22,4.35,4.54,4.84,4.78
2007-11-30,4.49,3.665,3.285,3.565,3.49,3.34,3.325,3.6950000000000003,3.8899999999999997,4.16,4.57,4.529999999999999
2007-12-31,4.24,2.815,3.07,3.3200000000000003,3.26,3.12,3.1399999999999997,3.5149999999999997,3.77,4.115,4.58,4.529999999999999
2008-01-31,3.94,3.07,3.09,3.05,2.86,2.51,2.55,3.0,3.32,3.74,4.35,4.34
2008-02-29,2.98,2.34,2.2,2.12,2.06,1.96,2.18,2.76,3.21,3.74,4.51,4.54
2008-03-31,2.61,1.415,1.34,1.505,1.56,1.625,1.8050000000000002,2.495,2.95,3.51,4.335,4.365
2008-04-30,2.28,0.9199999999999999,1.34,1.58,1.7,1.9649999999999999,2.1500000000000004,2.785,3.16,3.665,4.4399999999999995,4.4399999999999995
2008-05-31,1.98,1.86,1.83,1.9,2.075,2.455,2.6900000000000004,3.145,3.4400000000000004,3.8600000000000003,4.57,4.575
2008-06-30,2.0,1.795,1.88,2.2,2.475,2.825,3.125,3.505,3.745,4.1,4.75,4.71
2008-07-31,2.01,1.66,1.68,1.95,2.28,2.59,2.88,3.31,3.6,3.99,4.63,4.59
2008-08-31,2.0,1.67,1.74,1.97,2.17,2.42,2.7,3.14,3.45,3.87,4.5,4.47
2008-09-30,1.81,0.89,1.15,1.6949999999999998,2.0149999999999997,2.16,2.41,2.93,3.275,3.685,4.335,4.289999999999999
2008-10-31,0.97,0.21,0.63,1.14,1.36,1.61,1.86,2.77,3.24,3.84,4.43,4.16
2008-11-30,0.39,0.09,0.15,0.81,1.08,1.22,1.53,2.33,2.94,3.72,4.43,4.17
2008-12-31,0.16,0.02,0.02,0.25,0.45,0.84,1.08,1.54,1.87,2.37,3.16,2.86
2009-01-31,0.15,0.04,0.12,0.29,0.43,0.78,1.11,1.6,1.99,2.4800000000000004,3.395,3.04
2009-02-28,0.22,0.22,0.29,0.46,0.61,0.97,1.37,1.88,2.28,2.89,3.86,3.59
2009-03-31,0.18,0.11,0.22,0.42,0.67,0.93,1.31,1.84,2.49,2.83,3.76,3.65
2009-04-30,0.15,0.08,0.15,0.345,0.54,0.935,1.34,1.87,2.4850000000000003,2.9450000000000003,3.835,3.7350000000000003
2009-05-31,0.18,0.14,0.18,0.3,0.5,0.92,1.39,2.09,2.73,3.22,4.16,4.18
2009-06-30,0.21,0.09,0.19,0.31,0.51,1.19,1.78,2.725,3.35,3.72,4.525,4.51
2009-07-31,0.16,0.15,0.18,0.28,0.48,0.99,1.54,2.46,3.14,3.55,4.35,4.38
2009-08-31,0.16,0.11499999999999999,0.17,0.265,0.455,1.0950000000000002,1.6150000000000002,2.5199999999999996,3.1550000000000002,3.535,4.305,4.355
2009-09-30,0.15,0.065,0.135,0.20500000000000002,0.405,0.945,1.475,2.365,3.035,3.42,4.15,4.195
2009-10-31,0.12,0.04,0.07,0.16,0.375,0.965,1.48,2.36,2.98,3.41,4.2,4.22
2009-11-30,0.12,0.055,0.055,0.16,0.32,0.8,1.31,2.245,2.935,3.39,4.205,4.29
2009-12-31,0.12,0.02,0.05,0.17,0.37,0.85,1.35,2.3,3.04,3.56,4.39,4.5
2010-01-31,0.11,0.02,0.06,0.15,0.33,0.92,1.48,2.48,3.2,3.73,4.49,4.59
2010-02-28,0.13,0.05,0.10500000000000001,0.18,0.345,0.86,1.41,2.37,3.115,3.69,4.49,4.63
2010-03-31,0.16,0.12,0.15,0.23,0.41,0.97,1.5,2.42,3.14,3.71,4.48,4.63
2010-04-30,0.2,0.15,0.16,0.24,0.45,1.065,1.645,2.585,3.28,3.84,4.529999999999999,4.6899999999999995
2010-05-31,0.2,0.15,0.16,0.225,0.365,0.815,1.29,2.165,2.85,3.425,4.095000000000001,4.27
2010-06-30,0.18,0.07,0.125,0.19,0.31,0.74,1.1949999999999998,2.0,2.66,3.205,3.95,4.13
2010-07-31,0.18,0.16,0.16,0.2,0.3,0.62,0.99,1.76,2.43,3.0,3.78,3.99
