date,FEDFUNDS,DGS1MO,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,DGS20,DGS30
2006-03-31,4.59,4.45,4.61,4.77,4.75,4.72,4.7,4.66,4.66,4.67,4.87,4.7
2006-06-30,4.94,4.66,4.83,5.01,4.995,4.97,4.96,4.97,5.0,5.07,5.305,5.16
2006-09-30,5.25,4.915,5.0649999999999995,5.17,5.08,4.9,4.85,4.83,4.835,4.890000000000001,5.085,5.0
2006-12-31,5.25,5.035,5.04,5.13,5.0,4.74,4.635,4.585,4.59,4.61,4.82,4.73
2007-03-31,5.26,5.16,5.12,5.15,5.04,4.81,4.71,4.68,4.68,4.68,4.9,4.8
2007-06-30,5.25,4.795,4.88,5.005,4.93,4.755,4.695,4.675,4.69,4.76,5.0,4.92
2007-09-30,5.02,4.55,4.57,4.69,4.55,4.3,4.31,4.42,4.52,4.69,5.0,4.93
2007-12-31,4.49,3.58,3.36,3.58,3.49,3.35,3.35,3.72,3.96,4.23,4.66,4.61
2008-03-31,2.98,2.15,2.2,2.12,2.06,1.97,2.15,2.755,3.15,3.66,4.37,4.37
2008-06-30,2.0,1.5750000000000002,1.815,1.9,2.075,2.4450000000000003,2.6900000000000004,3.15,3.45,3.875,4.575,4.57
2008-09-30,2.0,1.59,1.685,1.9249999999999998,2.17,2.4050000000000002,2.7,3.11,3.4450000000000003,3.8600000000000003,4.5,4.46
2008-12-31,0.39,0.08,0.15,0.81,1.08,1.22,1.53,2.33,2.92,3.53,4.26,4.01
2009-03-31,0.18,0.11499999999999999,0.22,0.405,0.59,0.91,1.295,1.795,2.245,2.78,3.745,3.57
2009-06-30,0.18,0.11,0.18,0.31,0.51,0.96,1.39,2.09,2.73,3.22,4.16,4.18
2009-09-30,0.16,0.11,0.17,0.26,0.45,1.01,1.54,2.45,3.11,3.48,4.26,4.31
2009-12-31,0.12,0.04,0.06,0.16,0.36,0.88,1.4,2.3,2.98,3.44,4.26,4.3
2010-03-31,0.13,0.055,0.11,0.18,0.355,0.91,1.4449999999999998,2.4050000000000002,3.14,3.7,4.49,4.62
2010-06-30,0.2,0.14,0.16,0.23,0.375,0.82,1.3050000000000002,2.17,2.855,3.425,4.115,4.285
2010-09-30,0.19,0.15,0.16,0.19,0.26,0.53,0.81,1.49,2.14,2.75,3.6,3.88
2010-12-31,0.19,0.13,0.14,0.185,0.26,0.475,0.725,1.455,2.12,2.8049999999999997,3.84,4.245
2011-03-31,0.16,0.11,0.13,0.17,0.27,0.68,1.14,2.1,2.81,3.44,4.3,4.54
